Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,
88,1.45,1.100280158,0.254637198,-0.633316653,1.756300621,-6.64123812,-1.37829682,38.12385573,1.143596742,,
89,1.46667,1.105185154,0.259633028,-0.624157631,1.746360771,-6.650221229,-1.376343353,38.24238175,1.213645144,,
90,1.48333,1.110553037,0.26,-0.603496601,1.727478983,-6.653196693,-1.37358733,38.48960783,1.143596742,,
91,1.5,1.115957616,0.26,-0.581923699,1.712302515,-6.653644449,-1.368382322,38.63001351,1.318717746,,
92,1.51667,1.12006005,0.264620517,-0.585413602,1.711304948,-6.654894756,-1.364116557,38.5590735,0.478136927,,
93,1.53333,1.124056714,0.269616347,-0.590939293,1.710328605,-6.650493681,-1.359123047,38.47262381,1.248669344,,
94,1.55,1.124363636,0.265387823,-0.584095964,1.715754414,-6.644595096,-1.356664333,38.33377793,0.898427337,,
95,1.56667,1.124363636,0.260391993,-0.576223747,1.724224746,-6.639606197,-1.355859749,38.18006104,1.213645144,,
96,1.58333,1.132817954,0.26,-0.571699775,1.721582901,-6.635498851,-1.35189899,38.1413108,1.108572542,,
97,1.6,1.141992115,0.26,-0.567460889,1.726727774,-6.627621616,-1.342523383,37.86491143,0.653257931,,
98,1.61667,1.13959398,0.255404504,-0.576242576,1.725644955,-6.619903517,-1.338000183,37.78865381,0.968475739,,
99,1.63333,1.136187732,0.250408674,-0.586158541,1.709427501,-6.619137729,-1.333567447,37.95869008,0.688282132,,
100,1.65,1.135909091,0.25,-0.605943842,1.685277759,-6.617639256,-1.334554932,38.37535746,0.933451538,,
101,1.66667,1.135909091,0.25,-0.626608411,1.662344496,-6.600619301,-1.335523054,38.77830077,0.688282132,,
102,1.68333,1.124586929,0.236263553,-0.663576339,1.650156932,-6.584663159,-1.332737448,38.92582862,0.968475739,,
103,1.7,1.112233604,0.221276063,-0.70202909,1.643304419,-6.569013865,-1.330005412,38.98491386,1.03852414,,
104,1.71667,1.109104329,0.215429525,-0.70904251,1.631530333,-6.552223934,-1.328058172,39.1454305,1.03852414,,
105,1.73333,1.106833498,0.210433695,-0.713130007,1.623552997,-6.529337634,-1.326147673,39.24257596,0.863403136,,
106,1.75,1.099419895,0.214562135,-0.749636313,1.616433008,-6.501231807,-1.326430067,39.37198759,0.758330534,,
107,1.76667,1.091517401,0.219557965,-0.78922448,1.605936469,-6.475045213,-1.323145216,39.48541077,0.828378936,,
108,1.78333,1.090114414,0.183569641,-0.829985594,1.571994274,-6.477750513,-1.316391301,39.94287683,1.143596742,,
109,1.8,1.089342331,0.143603003,-0.870860566,1.566915027,-6.438520275,-1.314656336,39.99696391,1.283693545,,
110,1.81667,1.086173554,0.171818182,-0.857534435,1.59606309,-6.366653597,-1.315725228,39.50069143,1.108572542,,
111,1.83333,1.082767306,0.206788991,-0.83883792,1.592212884,-6.310907044,-1.320209834,39.66439049,1.213645144,,
112,1.85,1.077216241,0.21,-0.882286122,1.580383234,-6.252804998,-1.330062113,40.08421114,0.758330534,,
113,1.86667,1.071448328,0.21,-0.932017338,1.560119376,-6.187108902,-1.341766269,40.6968738,0.688282132,,
