Frame,Timestamp,unity_x,unity_y,unity_z,Vel_X,Vel_Y,Vel_Z
38.0,0.61667,0.9529394535128479,0.22515429524603836,-0.6598087989991662,1.0639193135052416,-1.5639635151792244,-1.5985851818408088
39.0,0.63333,0.9541289368124226,0.22015846538782322,-0.6902833611342786,1.0884684174748258,-1.6117231689134026,-1.6472343420189632
40.0,0.65,0.952439036498669,0.22,-0.6656119683069228,1.1127382475917489,-1.6571704987489613,-1.6935593883217626
41.0,0.66667,0.9506548115493065,0.22,-0.6391340700583819,1.1368022466165346,-1.70158457457671,-1.7388311919588677
42.0,0.68333,0.95364212240359,0.22,-0.6562381150959133,1.1608755966654003,-1.7467407540810447,-1.7847985676105746
43.0,0.7,0.9567942531474642,0.22,-0.6748475813177649,1.1852736287197436,-1.7930630795354814,-1.831925342266043
44.0,0.71667,0.955929147305294,0.22482068390325272,-0.6781513761467892,1.2100099796706296,-1.8395205939589383,-1.8791626228954812
45.0,0.73333,0.9549180865006548,0.22981651376146792,-0.6808990825688078,1.234905197725588,-1.8854232460959872,-1.9258923188463406
46.0,0.75,0.9537351562810279,0.22518765638031693,-0.6743830275229357,1.2598181583150034,-1.9311160630709778,-1.9723815811320091
47.0,0.76667,0.9525456729814525,0.22019182652210179,-0.6675137614678897,1.2848270611736845,-1.9769749611143883,-2.0190411544998423
48.0,0.78333,0.9555882878589301,0.22,-0.6766178065054214,1.3100568703019981,-2.0228903957582776,-2.065759407854875
49.0,0.8,0.9587998927677825,0.22,-0.6863596747289407,1.3353471865557736,-2.0689859934584574,-2.112662226534869
50.0,0.81667,0.9612693117280275,0.21520433694745622,-0.6844720600500417,1.3606708719278704,-2.1154521602443253,-2.159968665397349
